algorithm_id,algorithm_name,best_accuracy,precision,recall,roc_auc_score,true_positives,false_positives,false_negatives,true_negatives
1,knn,0.8421424975820142,0.7084967320261438,0.5717299578059072,0.7501506931886679,5798,446,812,1084
2,logistic_regression,0.8524920890252382,0.7283311772315654,0.5938818565400844,0.7633086412745265,5824,420,770,1126
3,support_vector_machines,0.8563616039444769,0.7486376021798365,0.5796413502109705,0.7602723086737108,5875,369,797,1099
4,decision_tree,0.8193541545060882,0.7073863636363636,0.3939873417721519,0.6722499168822322,5935,309,1149,747
